dataset	sample_id	donor_group	n_cells_total	n_cells_with_tcr	n_clonotypes	n_matching_tcrs	n_cells_matching_tcrs	proportion_cells_matching_tcrs
Dataset2	A02	control	799	799	590	10	96	0.12015018773466833
Dataset2	A06	control	1026	1026	960	10	18	0.017543859649122806
Dataset2	B01	centenarian	416	416	310	7	29	0.06971153846153846
Dataset2	B04	centenarian	1171	1171	866	16	16	0.013663535439795047
Dataset2	C03	supercentenarian	1606	1606	843	14	56	0.034869240348692404
Dataset2	C04	supercentenarian	1382	1382	646	9	133	0.09623733719247468
